name,lon,lat,address,pname,cityname,adname,type
中国工商银行(夹江广场支行),103.5753588,29.73365563,漹城镇王水井街365号,四川省,乐山市,夹江县,金融保险服务;银行;中国工商银行
中国工商银行(东大街支行),103.5699213,29.74035577,漹城镇东大街195号,四川省,乐山市,夹江县,金融保险服务;银行;中国工商银行
中国工商银行(夹江支行营业室),103.575127,29.74408441,焉城镇建设北路126号(近虹桥宾馆),四川省,乐山市,夹江县,金融保险服务;银行;中国工商银行
中国工商银行(乐山凤洲路支行),103.7221963,29.60397779,凤洲路1797-1801号,四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(乐山青江分理处),103.7349033,29.61251496,乐青路1号,四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(乐山嘉州支行),103.7286669,29.5574914,肖坝路756号嘉州新城生活广场F1层,四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(凤凰路支行),103.7445091,29.59016192,凤凰路中段号(近华联商厦),四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(天星路支行),103.7513243,29.59400649,天星路643、645号(电信花园旁),四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(滨江支行),103.7524516,29.60012531,银湾街128号,四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(春华路支行),103.757232,29.58659733,春华路南段422号,四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(柏杨路支行),103.7548923,29.58289253,柏杨东路295、297、299号(三江名都楼下、税务局对面),四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(沙湾支行),103.5455801,29.4171643,沫若大道南段96、98、100、102号(沙湾镇政府对面),四川省,乐山市,沙湾区,金融保险服务;银行;中国工商银行
中国工商银行(翡翠支行),103.7653236,29.59937766,翡翠路166号,四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(乐山分行),103.7642931,29.56072349,紫云后街10号(川兴融智能酒店对面),四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(土桥街支行),103.7626286,29.55606467,中土桥街40号,四川省,乐山市,市中区,金融保险服务;银行;中国工商银行
中国工商银行(五通桥支行),103.8095802,29.40552217,茶花路160-1号,四川省,乐山市,五通桥区,金融保险服务;银行;中国工商银行
中国工商银行(双江路分理处),103.8131414,29.40854492,竹根镇双江路198号,四川省,乐山市,五通桥区,金融保险服务;银行;中国工商银行
中国工商银行(五通桥文化街分理处),103.8185621,29.40345873,竹根镇文化路986号,四川省,乐山市,五通桥区,金融保险服务;银行;中国工商银行
中国工商银行(洪雅支行),103.3705974,29.90567137,洪川镇洪川镇文化街1号(近人民政府),四川省,眉山市,洪雅县,金融保险服务;银行;中国工商银行
中国工商银行(青神支行),103.8439469,29.83116421,青竹街道大南街39号,四川省,眉山市,青神县,金融保险服务;银行;中国工商银行
中国工商银行(中正街),103.3695348,29.90112654,洪川镇中正街16号,四川省,眉山市,洪雅县,金融保险服务;银行;中国工商银行
中国工商银行(洪雅广场支行),103.363924,29.90388677,洪川镇禾森大道39号附41-47号,四川省,眉山市,洪雅县,金融保险服务;银行;中国工商银行
中国工商银行(丹棱支行),103.5104355,30.01346558,丹棱镇小南街19号,四川省,眉山市,丹棱县,金融保险服务;银行;中国工商银行
中国工商银行(井研支行),104.063613,29.63674533,幸福大道1号(公安局旁),四川省,乐山市,井研县,金融保险服务;银行;中国工商银行
中国工商银行(峨边支行),103.2579523,29.23128385,沙坪镇县街10号,四川省,乐山市,峨边彝族自治县,金融保险服务;银行;中国工商银行
中国工商银行(眉山岷江支行),103.8447156,30.04118405,湖滨路南四段与二环东路交叉口东北40米,四川省,眉山市,东坡区,金融保险服务;银行;中国工商银行
中国工商银行(犍为县支行),103.94229,29.20672677,玉津镇凤凰路北段958号,四川省,乐山市,犍为县,金融保险服务;银行;中国工商银行
中国工商银行(犍为新城支行),103.9500107,29.19917549,玉津镇罗城路143号,四川省,乐山市,犍为县,金融保险服务;银行;中国工商银行
中国工商银行(金口河支行),103.0743294,29.2446833,和平滨河路三段33号,四川省,乐山市,金口河区,金融保险服务;银行;中国工商银行
中国工商银行(熊猫大道支行),103.0414343,30.01109765,熊猫大道与正和路交叉口北40米,四川省,雅安市,雨城区,金融保险服务;银行;中国工商银行
中国工商银行(羌江南路支行),103.0062311,29.98312247,羌江南路育才路97号口,四川省,雅安市,雨城区,金融保险服务;银行;中国工商银行
中国工商银行(雅安中大街支行),102.9943315,29.98708604,中大街106号,四川省,雅安市,雨城区,金融保险服务;银行;中国工商银行
中国工商银行(雅安分行),103.0003017,29.98375279,东大街13号临江大厦F1层,四川省,雅安市,雨城区,金融保险服务;银行;中国工商银行
中国工商银行(河北街支行),103.0028735,29.99058245,挺进路147号,四川省,雅安市,雨城区,金融保险服务;银行;中国工商银行
中国工商银行(仁寿支行),104.1441391,29.99568168,阳光路149-153号,四川省,眉山市,仁寿县,金融保险服务;银行;中国工商银行
中国工商银行(雅安上坝路支行),103.0098153,29.98035234,雅安市教育科学研究所南门旁,四川省,雅安市,雨城区,金融保险服务;银行;中国工商银行
中国工商银行(荥经支行),102.8444964,29.79801674,荥兴路东二段11号,四川省,雅安市,荥经县,金融保险服务;银行;中国工商银行
中国工商银行(仁寿城中支行),104.1603097,30.00696381,文锦街72号,四川省,眉山市,仁寿县,金融保险服务;银行;中国工商银行
中国工商银行(西门北路支行),102.9891207,29.99905199,康藏路477号,四川省,雅安市,雨城区,金融保险服务;银行;中国工商银行|金融保险服务;自动提款机;中国工商银行ATM
中国工商银行(文林分理处),104.1355835,29.99415807,文林街道奎星街130号,四川省,眉山市,仁寿县,金融保险服务;银行;中国工商银行
中国工商银行(仁寿大道支行),104.1752155,30.00855815,湖滨北路与仁寿大道二段辅路交叉口南60米,四川省,眉山市,仁寿县,金融保险服务;银行;中国工商银行
中国工商银行(仁寿富加支行),104.2947308,29.92900038,香炉街126号,四川省,眉山市,仁寿县,金融保险服务;银行;中国工商银行
中国工商银行(荣县荣州大道支行),104.4080055,29.45105813,旭阳镇望景路268-272号,四川省,自贡市,荣县,金融保险服务;银行;中国工商银行
中国工商银行(荣县支行),104.4114357,29.44578705,旭阳镇金碧城步行街3-5号,四川省,自贡市,荣县,金融保险服务;银行;中国工商银行
中国工商银行(荣县西街支行),104.4166139,29.45695567,旭阳镇西街191号,四川省,自贡市,荣县,金融保险服务;银行;中国工商银行
中国工商银行(汉源支行九襄分理处),102.6214911,29.49702234,九襄镇东风路三段24号,四川省,雅安市,汉源县,金融保险服务;银行;中国工商银行
中国工商银行(川威支行),104.488356,29.732575,连界镇人民路步行街1-5号(近威远县连界镇人民路步行街),四川省,内江市,威远县,金融保险服务;银行;中国工商银行
中国工商银行(汉源支行),102.6341086,29.34980942,江汉大道二段43号,四川省,雅安市,汉源县,金融保险服务;银行;中国工商银行
中国工商银行(长安西路分理处),102.2341376,27.88840997,凯乐路91号(华西医院楼下),四川省,凉山彝族自治州,西昌市,金融保险服务;银行;中国工商银行
中国工商银行(凉山分行碧府路支行),102.2434777,27.87902839,西郊乡北碧府路昌平建材市场门市15号,四川省,凉山彝族自治州,西昌市,金融保险服务;银行;中国工商银行
中国工商银行(航天城支行),102.2571285,27.88973955,长安东路6号,四川省,凉山彝族自治州,西昌市,金融保险服务;银行;中国工商银行
中国工商银行(凉山彝族自治州商业街支行),102.2606313,27.89134512,商业街一段30号,四川省,凉山彝族自治州,西昌市,金融保险服务;银行;中国工商银行
中国工商银行(凉山分行),102.2544378,27.87677436,航天大道三段52号,四川省,凉山彝族自治州,西昌市,金融保险服务;银行;中国工商银行
中国工商银行(三岔口分理处),102.2625306,27.88188432,三岔口南路88号,四川省,凉山彝族自治州,西昌市,金融保险服务;银行;中国工商银行
中国工商银行(城南支行),102.252937,27.86987979,春城西路87号,四川省,凉山彝族自治州,西昌市,金融保险服务;银行;中国工商银行
中国工商银行,102.2687743,27.87328802,井泉路126号,四川省,凉山彝族自治州,西昌市,金融保险服务;银行;中国工商银行
中国工商银行(马道分理处),102.2112982,27.8391244,马道街道马道南30号,四川省,凉山彝族自治州,西昌市,金融保险服务;银行;中国工商银行
中国工商银行,103.2454023,27.69642274,下南街17号,四川省,凉山彝族自治州,金阳县,金融保险服务;银行;中国工商银行
中国工商银行(泸州合江支行),105.8163196,28.82232621,少岷北路431号,四川省,泸州市,合江县,金融保险服务;银行;中国工商银行
中国工商银行(合江少岷路支行),105.8294982,28.81236362,合江镇少岷南路318号,四川省,泸州市,合江县,金融保险服务;银行;中国工商银行
中国工商银行(泸州高新支行),105.5102126,28.86224741,泰安镇酒谷大道四段9号,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州高坝支行),105.5012282,28.88852779,罗汉街道北方路1号,四川省,泸州市,龙马潭区,金融保险服务;银行;中国工商银行
中国工商银行(泸州分行营业部),105.4479381,28.89294909,迎晖路100号,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州南城支行),105.4521906,28.88251092,中平远路28号,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州江阳支行),105.4497122,28.88820202,一环路与肖巷子路交叉口东南100米,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行泸州市分行营业部(工会驿站),105.4480641,28.89294109,迎晖路100号,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州分行),105.44794,28.89299609,,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州江阳南路支行),105.4448717,28.87664924,江阳南路段29号,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州蓝田支行),105.439631,28.85559548,蓝田街道蓝星街1号,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州小市支行),105.442043,28.89929934,下合道街72-80号,四川省,泸州市,龙马潭区,金融保险服务;银行;中国工商银行
中国工商银行(泸州忠山支行),105.4413151,28.88762039,忠山路三段23号,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(龙马潭支行),105.4333196,28.91122671,"莲花池街道龙马大道二段265,267号",四川省,泸州市,龙马潭区,金融保险服务;银行;中国工商银行
中国工商银行大山坪支行(工会驿站),105.4391586,28.87308149,大山坪江阳西路1号(泸州市政府旁),四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州红星支行),105.4331129,28.90419573,龙南路243-249号,四川省,泸州市,龙马潭区,金融保险服务;银行;中国工商银行
中国工商银行,105.4391326,28.87309849,大山坪路北段与一环路交叉口南20米,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
