name,lon,lat,address,pname,cityname,adname,type
德昌县支行营业室,102.1843442,27.39475926,四川省德昌县昌平路南段92号,四川省,凉山彝族自治州,德昌县,金融保险服务;银行;中国农业银行
德昌城郊支行,102.1756242,27.39818313,四川省德昌县新华街东段110号,四川省,凉山彝族自治州,德昌县,金融保险服务;银行;中国农业银行
德格上燃姑支行,99.38403164,32.34461833,四川省甘孜藏族自治州德格县上燃姑乡左八通村,四川省,甘孜藏族自治州,德格县,金融保险服务;银行;中国农业银行
德格中扎科支行,99.49583112,31.9955329,四川省甘孜藏族自治州德格县中扎科镇同鸠村,四川省,甘孜藏族自治州,德格县,金融保险服务;银行;中国农业银行
德格亚丁支行,99.03445034,32.39916823,四川省甘孜藏族自治州德格县亚丁乡吉拢村,四川省,甘孜藏族自治州,德格县,金融保险服务;银行;中国农业银行
德格俄南支行,98.37179446,32.24568281,四川省甘孜藏族自治州德格县俄南乡马龙村,四川省,甘孜藏族自治州,德格县,金融保险服务;银行;中国农业银行
德格卡松渡支行,98.38865176,32.05118653,四川省甘孜藏族自治州德格县卡松渡乡,四川省,甘孜藏族自治州,德格县,金融保险服务;银行;中国农业银行
德格岳巴支行,99.02145784,31.5775753,四川省甘孜藏族自治州德格县岳巴乡日炯村,四川省,甘孜藏族自治州,德格县,金融保险服务;银行;中国农业银行
德格浪多支行,98.89407909,32.31642094,四川省甘孜藏族自治州德格县浪多乡志巴村,四川省,甘孜藏族自治州,德格县,金融保险服务;银行;中国农业银行
德格错阿支行,99.41499236,31.80573673,四川省甘孜藏族自治州德格县错阿镇错通村,四川省,甘孜藏族自治州,德格县,金融保险服务;银行;中国农业银行
德格麦宿支行,98.98097031,31.62595432,四川省甘孜藏族自治州德格县麦宿镇日卡村,四川省,甘孜藏族自治州,德格县,金融保险服务;银行;中国农业银行
德阳东桥支行,104.3948598,31.12665383,四川省德阳市旌阳区凯江路一段4号,四川省,德阳市,旌阳区,金融保险服务;银行;中国农业银行
德阳天府数谷支行,104.4092381,31.16074005,四川省德阳市旌阳区天山北路一段369号碧桂园.旌湖上境北区8幢1层8、9、10、11号,四川省,德阳市,旌阳区,金融保险服务;银行;中国农业银行
成都一品天下支行,104.0198974,30.68778097,四川省成都市金牛区一品天下大街281号,四川省,成都市,金牛区,金融保险服务;银行;中国农业银行
成都万年场支行,104.1075961,30.64559539,四川省成都市双林路1号,四川省,成都市,成华区,金融保险服务;银行;中国农业银行
成都万顺支行,104.0068918,30.48773,四川省成都市双流区万顺路二段370号2栋1层5、6、7号,四川省,成都市,双流区,金融保险服务;银行;中国农业银行
成都三利麓山支行,104.0847387,30.48660273,四川省成都市天府新区万安镇万东北二路50号1栋1层2、3号,四川省,成都市,双流区,金融保险服务;银行;中国农业银行
成都三洞桥支行,104.0420317,30.66592329,四川省成都市槐树街79号,四川省,成都市,金牛区,金融保险服务;银行;中国农业银行
成都世纪城支行,104.06857,30.54617323,四川省成都市世纪城时尚天堂街区209区1座1单元16号,四川省,成都市,武侯区,金融保险服务;银行;中国农业银行
成都东光支行,104.0926264,30.61006911,四川省成都市成仁路东光小区东怡园10号,四川省,成都市,锦江区,金融保险服务;银行;中国农业银行
成都东坡支行,103.9826811,30.65939339,四川省成都市东坡北三路505、507号,四川省,成都市,青羊区,金融保险服务;银行;中国农业银行
成都东大街支行,104.0796661,30.64579934,四川省成都市锦江区天仙桥北路５号１栋１层２号,四川省,成都市,锦江区,金融保险服务;银行;中国农业银行
成都东郊支行,104.094814,30.66005616,四川省成都市一环路东二段建设南路28号,四川省,成都市,成华区,金融保险服务;银行;中国农业银行
成都东部新区支行营业室,104.3161231,30.30810222,四川省成都市东部新区公园大道2568号金融创新中心一号楼三单元311号、351号,四川省,成都市,简阳市,金融保险服务;银行;中国农业银行
成都五福支行,104.0604018,30.70396297,四川省成都市金牛区五块石路12号1栋1层1号、1栋2层1号,四川省,成都市,金牛区,金融保险服务;银行;中国农业银行
成都仙湖支行,104.0884055,30.70091182,成都市成华区洪山北路99号附15、16、17号,四川省,成都市,成华区,金融保险服务;银行;中国农业银行
成都光华支行营业室,104.0494234,30.65393482,四川省成都市小南街3号,四川省,成都市,青羊区,金融保险服务;银行;中国农业银行
成都光华逸家支行,103.956275,30.66495544,四川省成都市青羊区光华北三路98号17栋附120、121、204号,四川省,成都市,青羊区,金融保险服务;银行;中国农业银行
成都兴华丰支行,104.0109306,30.55594729,四川省双流县成白路社区成都华丰食品城（一期）501栋3、4、5、6、10、11号,四川省,成都市,双流区,金融保险服务;银行;中国农业银行
成都兴隆支行,104.1072145,30.38726314,四川省成都市天府新区集贤路2268、2270、2272号1层,四川省,成都市,双流区,金融保险服务;银行;中国农业银行
成都北站东路支行,104.0732585,30.68798058,四川省成都市北站东二路口,四川省,成都市,金牛区,金融保险服务;银行;中国农业银行
成都华府支行,104.0608074,30.52082837,四川省双流华阳街道华府大道1段898号,四川省,成都市,双流区,金融保险服务;银行;中国农业银行
